competitorname;chocolate;fruity;caramel;peanutyalmondy;nougat;crispedricewafer;hard;bar;pluribus;sugarpercent;pricepercent;winpercent
100 Grand;TRUE;0;1;0;0;1;0;1;0;.73199999;.86000001;66971725
3 Musketeers;TRUE;0;0;0;1;0;0;1;0;.60399997;.51099998;67602936
One dime;FALSE;0;0;0;0;0;0;0;0;.011;.116;32261086
One quarter;FALSE;0;0;0;0;0;0;0;0;.011;.51099998;46116505
Air Heads;FALSE;1;0;0;0;0;0;0;0;.90600002;.51099998;52341465
Almond Joy;TRUE;0;0;1;0;0;0;1;0;.465;.76700002;50347546
Baby Ruth;TRUE;0;1;1;1;0;0;1;0;.60399997;.76700002;56914547
Boston Baked Beans;FALSE;0;0;1;0;0;0;0;1;.31299999;.51099998;23417824
Candy Corn;FALSE;0;0;0;0;0;0;0;1;.90600002;.32499999;38010963
Caramel Apple Pops;FALSE;1;1;0;0;0;0;0;0;.60399997;.32499999;34517681
Charleston Chew;TRUE;0;0;0;1;0;0;1;0;.60399997;.51099998;38975037
Chewey Lemonhead Fruit Mix;FALSE;1;0;0;0;0;0;0;1;.73199999;.51099998;36017628
Chiclets;FALSE;1;0;0;0;0;0;0;1;.046;.32499999;24524988
Dots;FALSE;1;0;0;0;0;0;0;1;.73199999;.51099998;42272076
Dum Dums;FALSE;1;0;0;0;0;1;0;0;.73199999;.034000002;39460556
Fruit Chews;FALSE;1;0;0;0;0;0;0;1;.127;.034000002;43088924
Fun Dip;FALSE;1;0;0;0;0;1;0;0;.73199999;.32499999;39185505
Gobstopper;FALSE;1;0;0;0;0;1;0;1;.90600002;.45300001;46783348
Haribo Gold Bears;FALSE;1;0;0;0;0;0;0;1;.465;.465;5711974
Haribo Happy Cola;FALSE;0;0;0;0;0;0;0;1;.465;.465;34158958
Haribo Sour Bears;FALSE;1;0;0;0;0;0;0;1;.465;.465;5141243
Haribo Twin Snakes;FALSE;1;0;0;0;0;0;0;1;.465;.465;42178772
Hershey's Kisses;TRUE;0;0;0;0;0;0;0;1;.127;.093000002;55375454
Hershey's Krackel;TRUE;0;0;0;0;1;0;1;0;.43000001;.91799998;62284481
Hershey's Milk Chocolate;TRUE;0;0;0;0;0;0;1;0;.43000001;.91799998;56490501
Hershey's Special Dark;TRUE;0;0;0;0;0;0;1;0;.43000001;.91799998;59236122
Jawbusters;FALSE;1;0;0;0;0;1;0;1;.093000002;.51099998;28127439
Junior Mints;TRUE;0;0;0;0;0;0;0;1;.197;.51099998;5721925
Kit Kat;TRUE;0;0;0;0;1;0;1;0;.31299999;.51099998;767686
Laffy Taffy;FALSE;1;0;0;0;0;0;0;0;.22;.116;41389557
Lemonhead;FALSE;1;0;0;0;0;1;0;0;.046;.104;39141056
Lifesavers big ring gummies;FALSE;1;0;0;0;0;0;0;0;.26699999;.27900001;52911392
Peanut butter M&M's;TRUE;0;0;1;0;0;0;0;1;.82499999;.65100002;7146505
M&M's;TRUE;0;0;0;0;0;0;0;1;.82499999;.65100002;66574585
Mike & Ike;FALSE;1;0;0;0;0;0;0;1;.87199998;.32499999;46411716
Milk Duds;TRUE;0;1;0;0;0;0;0;1;.30199999;.51099998;55064072
Milky Way;TRUE;0;1;0;1;0;0;1;0;.60399997;.65100002;73099556
Milky Way Midnight;TRUE;0;1;0;1;0;0;1;0;.73199999;.44100001;60800701
Milky Way Simply Caramel;TRUE;0;1;0;0;0;0;1;0;.96499997;.86000001;6435334
Mounds;TRUE;0;0;0;0;0;0;1;0;.31299999;.86000001;47829754
Mr Good Bar;TRUE;0;0;1;0;0;0;1;0;.31299999;.91799998;54526451
Nerds;FALSE;1;0;0;0;0;1;0;1;.84799999;.32499999;55354046
Nestle Butterfinger;TRUE;0;0;1;0;0;0;1;0;.60399997;.76700002;70735641
Nestle Crunch;TRUE;0;0;0;0;1;0;1;0;.31299999;.76700002;6647068
Nik L Nip;FALSE;1;0;0;0;0;0;0;1;.197;.97600001;22445341
Now & Later;FALSE;1;0;0;0;0;0;0;1;.22;.32499999;394468
Payday;FALSE;0;0;1;1;0;0;1;0;.465;.76700002;46296597
Peanut M&Ms;TRUE;0;0;1;0;0;0;0;1;.59299999;.65100002;69483788
Pixie Sticks;FALSE;0;0;0;0;0;0;0;1;.093000002;.023;37722336
Pop Rocks;FALSE;1;0;0;0;0;1;0;1;.60399997;.83700001;41265511
Red vines;FALSE;1;0;0;0;0;0;0;1;.58099997;.116;37348522
Reese's Miniatures;TRUE;0;0;1;0;0;0;0;0;.034000002;.27900001;81866257
Reese's Peanut Butter cup;TRUE;0;0;1;0;0;0;0;0;.72000003;.65100002;8418029
Reese's pieces;TRUE;0;0;1;0;0;0;0;1;.40599999;.65100002;7343499
Reese's stuffed with pieces;TRUE;0;0;1;0;0;0;0;0;.98799998;.65100002;72887901
Ring pop;FALSE;1;0;0;0;0;1;0;0;.73199999;.96499997;35290756
Rolo;TRUE;0;1;0;0;0;0;0;1;.86000001;.86000001;65716286
Root Beer Barrels;FALSE;0;0;0;0;0;1;0;1;.73199999;.068999998;29703691
Runts;FALSE;1;0;0;0;0;1;0;1;.87199998;.27900001;42849144
Sixlets;TRUE;0;0;0;0;0;0;0;1;.22;.081;34722
Skittles original;FALSE;1;0;0;0;0;0;0;1;.94099998;.22;6308514
Skittles wildberry;FALSE;1;0;0;0;0;0;0;1;.94099998;.22;55103695
Nestle Smarties;TRUE;0;0;0;0;0;0;0;1;.26699999;.97600001;37887188
Smarties candy;FALSE;1;0;0;0;0;1;0;1;.26699999;.116;45995827
Snickers;TRUE;0;1;1;1;0;0;1;0;.546;.65100002;76673782
Snickers Crisper;TRUE;0;1;1;0;1;0;1;0;.60399997;.65100002;59529251
Sour Patch Kids;FALSE;1;0;0;0;0;0;0;1;.068999998;.116;59863998
Sour Patch Tricksters;FALSE;1;0;0;0;0;0;0;1;.068999998;.116;52825947
Starburst;FALSE;1;0;0;0;0;0;0;1;.15099999;.22;67037628
Strawberry bon bons;FALSE;1;0;0;0;0;1;0;1;.56900001;.057999998;34578991
Sugar Babies;FALSE;0;1;0;0;0;0;0;1;.96499997;.76700002;3343755
Sugar Daddy;FALSE;0;1;0;0;0;0;0;0;.41800001;.32499999;32230995
Super Bubble;FALSE;1;0;0;0;0;0;0;0;.162;.116;27303865
Swedish Fish;FALSE;1;0;0;0;0;0;0;1;.60399997;.755;54861111
Tootsie Pop;TRUE;1;0;0;0;0;1;0;0;.60399997;.32499999;48982651
Tootsie Roll Juniors;TRUE;0;0;0;0;0;0;0;0;.31299999;.51099998;43068897
Tootsie Roll Midgies;TRUE;0;0;0;0;0;0;0;1;.17399999;.011;45736748
Tootsie Roll Snack Bars;TRUE;0;0;0;0;0;0;1;0;.465;.32499999;49653503
Trolli Sour Bites;FALSE;1;0;0;0;0;0;0;1;.31299999;.255;47173229
Twix;TRUE;0;1;0;0;1;0;1;0;.546;.90600002;81642914
Twizzlers;FALSE;1;0;0;0;0;0;0;0;.22;.116;45466282
Warheads;FALSE;1;0;0;0;0;1;0;0;.093000002;.116;39011898
Welch's Fruit Snacks;FALSE;1;0;0;0;0;0;0;1;.31299999;.31299999;44375519
Werther's Original Caramel;FALSE;0;1;0;0;0;1;0;0;.186;.26699999;41904308
Whoppers;TRUE;0;0;0;0;1;0;0;1;.87199998;.84799999;49524113
